Required fields	status	description	reference standard	reference link	guidance	rationale
ruleID	required	unique identifier for this rule {values listed in 'organism subgroup codes'}	AMRrules	'organism subgroup codes' tab	Combination of 3-letter code (to indicate the organism subgroup who curated the rule, see tab 'organism subgroup codes') followed by 4-digit number (assigned by the subgroup).	Each rule needs a unique identifier, so that combinatorial rules can be defined as combinations of component parts. These need to be unique across the entire AMRrules set, but assigned and managed within the subgroups who are defining the individual and combinatorial rules.
txid	required	taxonomy ID of the species that this rule applies to	NCBI Taxonomy	https://www.ncbi.nlm.nih.gov/Taxonomy/taxonomyhome.html/	There should be one row per species/marker combination, for clarity of interpretation and parsing the rules files, and for clarity of recording evidence for each rule and its relevance to a given species. The primary taxonomy identifier for AMRrules is the NCBI Taxonomy, this field should contain a valid taxid for a species or genus. Note these identifiers are stable, even when the species or genus name changes.	
organism	required	species that this rule applies to, normally a species {scientific name}	NCBI Taxonomy	https://www.ncbi.nlm.nih.gov/Taxonomy/taxonomyhome.html/	Indicate the name of the organism the rule applies to. Include the prefix 's_', 'g_' etc to indicate the taxonomic level (species, genus). E.g. 's_Klebsiella pneumoniae' indicates species Klebsiella pneumoniae. 'g_Klebsiella' indicates genus Klebsiella. This should usually be the value of the 'current name' field associated with the taxid in the NCBI Taxonomy, however if there are issues with the current name, e.g. if it does not match the organism nomenclature used by EUCAST to define a breakpoint, you may use a different organism name.	
gene	required	name of the gene that this rule applies to {node ID, or gene symbol if node ID not available} OR a logical expression describing a combination of other ruleIDs {logical}	refgene, NCBI Gene Hierarchy	https://www.ncbi.nlm.nih.gov/pathogens/refgene/ https://www.ncbi.nlm.nih.gov/pathogens/genehierarchy, https://ftp.ncbi.nlm.nih.gov/pathogen/Antimicrobial_resistance/AMRFinderPlus/database/latest/ReferenceGeneHierarchy.txt 	If the gene is in the NCBI hierarchy, specify the node ID. If it is not in the NCBI hierarchy, indicate the gene or allele name in NCBI refgene. If it is not in NCBI refgene, use the gene symbol (e.g. 'mexB') - if the gene is present in CARD, use the gene symbol present there, otherwise try to identify the most suitable gene symbol and be sure to include refseq and ARO accessions for clarity). For combinatorial rules, this should be a logical expression based on other single-marker rules, which when evaluated as TRUE means this rule should be applied. E.g. "ECO001 & ECO002" means this rule should be applied when both rule ECO001 and rule ECO002 apply (i.e. when the markers defined by these rules are both detected). "(ECO001 | ECO003) & ECO002" means this rule should be applied when either one or both of rules ECO001 or ECO003 apply and ECO002 also applies. Syntax should use '&' for logical AND and '|' for logical OR.	
nodeID	uniquely identify the gene using AT LEAST ONE NCBI accession: nodeID (preferred) or refseq protein or GenBank protein or HMM (for protein-coding genes); or nucleotide accession with coordinates (for nucleotide variants e.g. 23S or promoter regions)	name of the gene that this rule applies to {node ID in NCBI gene hierarchy}	NCBI Gene Hierarchy	https://www.ncbi.nlm.nih.gov/pathogens/genehierarchy, https://ftp.ncbi.nlm.nih.gov/pathogen/Antimicrobial_resistance/AMRFinderPlus/database/latest/ReferenceGeneHierarchy.txt	Can be a leaf node or internal node in the NCBI Gene Hierarchy. Where a rule applies to multiple leaf nodes and/or all descendants of an internal node, it is recommended to specify one row per node, and provide evidence for each one (unless the number of leaf nodes is large and all have the same categorization and evidence). 	
protein accession		refseq protein accession for the gene this rule applies to	refseq or GenBank protein sequence accession	https://www.ncbi.nlm.nih.gov/refseq/ https://www.ncbi.nlm.nih.gov/genbank/	Indicate the refseq (preferred) or Genbank protein accession for the most appropriate protein sequence. Wherever possible this should match that used in the NCBI Pathogens refgene database.	
HMM accession		HMM accession for the gene this rule applies to (suitable for internal nodes in the NCBI Gene Hierarchy)	HMM accession	https://www.ncbi.nlm.nih.gov/pathogens/refgene/ https://www.ncbi.nlm.nih.gov/pathogens/hmm/	Indicate the HMM accession for the most appropriate protein sequence; this is mainly relevant for internal nodes in the NCBI Gene Hierarchy.	
nucleotide accession		nucleotide sequence accession and coordinates defining the gene this rule applies to (suitable for e.g. rRNA genes or promoter variants)	nucleotide sequence accession	https://www.ncbi.nlm.nih.gov/pathogens/refgene/ https://www.ncbi.nlm.nih.gov/refseq/	For variants defined by nucleotide sequences not proteins (e.g. 23S, or promoter mutations), indicate the nucleotide sequence accession and coordinates of the relevant gene within that sequence, in the format: accession:start-stop (for genes encoded on forward strand) and accession:stop-start (for genes encoded on reverse strand). The refgene AMR database gives the relevant accessions and coordinates for AMR variants included in AMRfinderplus.	
ARO accession	optional	Antiboitic Resistance Ontology (ARO) identifier for the gene this rule applies to	ARO gene ID	https://card.mcmaster.ca	Only complete this if the rule applies to a specific allele, not a gene family or internal node of the refgene hierarchy (as families not yet available in CARD). Note there will not always be an ARO for every allele and node in refgene. In this case a representative may be chosen, or the field left blank. 	Useful for harmonization with CARD (for drug dictionary and other things) and for annotation of genotypes generated using other DBs/tools based on CARD (which can be mapped to ARO using argNorm tool)
mutation	required (set to '-' if non-specific)	specific mutation in this gene to which the rule applies	HGVS (with some AMRrules modifications)	https://hgvs-nomenclature.org/stable/ https://github.com/interpretAMR/AMRrulesCuration/blob/main/syntax.md	Indicate the mutation relative to the gene in 'gene'. Typically this will be a protein mutation (in the format 'p.Ser83Tyr') or a nucleotide mutation in a coding sequence (in the format 'c.25T'). For more complex examples see https://github.com/interpretAMR/AMRrulesCuration/blob/main/syntax.md 	
